imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.01500729614819768, 0.014465384599865577, -0.015044264818257526, 4.610520623484736e-12, -8.986017159265435e-06, -5.130772111569866e-07, -1.9771332607074494, -0.5000010339492224, 5326000000, 
-0.02439453841340443, 0.0031682316607875532, -0.02438520677998808, 5.72076311668776e-14, -5.086792639056236e-07, -1.124630690223918e-07, -1.9771335164969062, -0.5000010339494136, 5356000000, 
-0.05627163123584074, 0.027206573246815042, -0.056239808400038525, 1.0676390019356264e-14, 9.05724220684424e-06, 1.1787683022640702e-09, -1.9771335074923868, -0.500001033949407, 5388000000, 
-0.06882322099007497, -0.027675228791403928, -0.06881066259174487, -2.3615105592854873e-12, 1.3547565439564566e-05, -1.7431254123260312e-07, -1.9771330551274564, -0.5000010339490771, 5428000000, 
-0.06333634580883682, 0.007329763401600783, -0.06334180914242458, 4.3294833960130195e-12, 1.953379374422656e-05, 2.2164068345876994e-07, -1.9771325866376375, -0.5000010339487355, 5458000000, 
-0.08929057714602356, -0.020587506241691374, -0.08926468009666597, -5.48309507108913e-12, 2.0470158958700016e-05, -2.67857962517617e-07, -1.9771319900310202, -0.5000010339483036, 5486000000, 
-0.043875440301669316, 0.02819819104028447, -0.043920738793022475, 1.4188442958179816e-11, 1.993795680074132e-05, 7.116297371881291e-07, -1.9771308311493423, -0.5000010339474575, 5533000000, 
-0.054440666256852954, -0.022339364629793145, -0.05443016728730095, -5.962721929588267e-12, 1.6506579380280847e-05, -3.612330448494663e-07, -1.9771302831599094, -0.5000010339470644, 5559000000, 
-0.065213927807382, 0.0251295572815687, -0.06520316546096225, 8.623042191524927e-13, 2.3228253903861615e-06, 3.7123075316872515e-07, -1.9771294734650675, -0.5000010339464686, 5602000000, 
-0.05877667628029609, -0.007068490852178793, -0.05878308980526109, 1.3555882611684701e-13, -1.2091041264000561e-06, -1.1211509675387105e-07, -1.9771292205947761, -0.5000010339462863, 5649000000, 
-0.03222086271837116, 0.0020969863839226644, -0.03224737186016456, 2.0136473668439908e-12, -1.0147632095604004e-05, -1.984351962973028e-07, -1.9771291753832045, -0.5000010339462528, 5689000000, 
-0.07603798889491303, -0.003439891541788813, -0.07599428559690927, 2.8491542226420056e-12, -1.4732573216324823e-05, -1.9339148571037975e-07, -1.9771295068492485, -0.5000010339464959, 5726000000, 
