imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.03619048591256893, -0.0002141234532980203, -0.03621965319039569, -0.002498808930956213, 0.1000058329110679, -0.02498663186154678, -1.706173280961932, -0.5044779463111149, 106186000000, 
-0.06328414337421412, 0.006435829509724591, -0.06325713277639002, 0.00037147245977249023, 0.09986834842096397, 0.0037196215382141254, -1.700675281295936, -0.504641245296655, 106241000000, 
-0.006091700798678018, 0.0030991262016808975, -0.006148751908660766, 0.0005282038942666455, 0.1000259770527356, 0.005280667180968064, -1.6941866938381476, -0.5048428813922012, 106306000000, 
-0.06597906735282032, 0.0038137372401449163, -0.06591935636365612, 0.0008163759452370692, 0.10003017522633639, 0.008161296762600592, -1.6865882945587383, -0.5050771658092305, 106382000000, 
-0.03999834253076923, -0.009124104899321401, -0.04002421158359249, -0.0011250115263283596, 0.09996445305152488, -0.011254115758013428, -1.6803890438660951, -0.5052658181131412, 106444000000, 
-0.06856901512359974, -0.012386111005707856, -0.068540527054431, -0.0007060140903092577, 0.10013145883240343, -0.007050871909206473, -1.6732945305642168, -0.5054781299225807, 106515000000, 
-0.05129725977298098, -0.0035294300718938364, -0.05131446844048254, 0.00019242083174167407, 0.09999938671739923, 0.001924220118323927, -1.6677896977823325, -0.505647269649776, 106570000000, 
-0.05636573489956899, 0.018988982500954876, -0.05636069355038879, 0.0009437991026647704, 0.09999530579162035, 0.009438434086411497, -1.662192279904631, -0.5058214241230843, 106626000000, 
-0.052975820818064075, 0.008813510264255068, -0.05297919877201365, 0.0009481495290723447, 0.10003680125226795, 0.009478007265359746, -1.6567949606140215, -0.5059887684539297, 106680000000, 
-0.027323146806672107, 0.022442501517709545, -0.02734875144241668, 0.0008261413268152515, 0.10017894591882244, 0.008246656213419284, -1.65029535720232, -0.5061869733613941, 106745000000, 
-0.06699332260414301, -0.005588257437751238, -0.0669537570031852, 0.00020089800728884637, 0.09994923930858143, 0.002010000362970223, -1.643185702762405, -0.5063993982557479, 106816000000, 
-0.07376908420200415, 0.015343023780951898, -0.07376228230040713, 0.00020911065310242718, 0.10003632943443526, 0.0020903471197379372, -1.6381902119297178, -0.5065457300903543, 106866000000, 
-0.02459317518132622, -0.01396757730005617, -0.024642245960275797, 0.0004861732415608169, 0.09997600577821748, 0.00486289923043458, -1.6324903335495269, -0.5067121220468468, 106923000000, 
-0.06006479991777819, 0.029402619678766766, -0.06002944799429391, 0.0009310905759347033, 0.10014784846340846, 0.0092971600510709, -1.6288926793181313, -0.5068167158812102, 106959000000, 
-0.06911446910160311, -0.01780319639950728, -0.06910540204799376, 0.0006063174406541848, 0.09982939330982778, 0.006073536265741239, -1.6234867944061029, -0.5069729319948851, 107013000000, 
-0.10365009624094537, -0.008083827459589953, -0.10361562017425827, 0.00011988240160221232, 0.09994821857316849, 0.0011994451058119733, -1.6170999967734652, -0.5071542859531608, 107077000000, 
-0.05505548081769627, -0.010906225758157036, -0.05510394378758812, 3.5513392647318044e-05, 0.09997755637410641, 0.00035521364929575134, -1.6118045253005053, -0.5073025931767037, 107130000000, 
-0.05013544646269046, 0.007239010000836069, -0.050140404920899696, 0.0002985436417519882, 0.09998701560074713, 0.0029858241088431626, -1.607007347781199, -0.50743663998239, 107178000000, 
-0.06028854624230412, 0.011723567571148515, -0.060278418133965346, 0.00041374387810720603, 0.10001266119779054, 0.004136914998081727, -1.6005105112475162, -0.507618068432098, 107243000000, 
-0.0755495458828376, -0.008860120198494085, -0.0755343050802244, 0.0003076732588416463, 0.09994687886289075, 0.0030783678524240765, -1.5956116327144505, -0.5077539209838937, 107292000000, 
-0.0472468737587817, 0.010975038095172172, -0.04727510459337583, 0.0003306339450586417, 0.10002923072707022, 0.0033053732659483956, -1.5910156540219058, -0.507880441591099, 107338000000, 
-0.06616169062550939, -0.02097479210169569, -0.06614284149439656, 1.562603410629227e-05, 0.09993267310515548, 0.00015636561717757283, -1.584016007636128, -0.5080721396705522, 107408000000, 
-0.061399113556782264, -0.01619823181721747, -0.06140384747464535, 0.00018820263309819304, 0.09999931610953221, 0.0018820392020686334, -1.5768231595063245, -0.5082674650085616, 107480000000, 
-0.026520493225509343, 0.0005787931235719122, -0.02655530668741004, 0.0004054649022175314, 0.10000019337958746, 0.004054641181326924, -1.5698254843813921, -0.5084574106270898, 107550000000, 
-0.07988149330913406, 0.012126381141404189, -0.07982827345090412, 0.0004886183169612122, 0.10004419024035449, 0.004884024907266627, -1.5652270945052922, -0.5085816228577861, 107596000000, 
